entity,birth_date,provider,model,reported_cutoff,score_run1,score_run2,score_run3,score_mean,score_std,score_min,score_max,agreement
Mixtral 8x7B,2023-12-08,openai,gpt-5.2,2025-06,4,4,4,4,0.0,4,4,exact
NotebookLM,2023-07-12,openai,gpt-4-0613,2021-09,0,0,0,0,0.0,0,0,exact
NotebookLM,2023-07-12,openai,gpt-4.1-2025-04-14,2024-06,3,4,4,3.667,0.471,3,4,within_1
NotebookLM,2023-07-12,openai,gpt-4o-2024-05-13,2023-10,3,3,3,3,0.0,3,3,exact
NotebookLM,2023-07-12,openai,gpt-4o-2024-11-20,2023-10,3,3,3,3,0.0,3,3,exact
NotebookLM,2023-07-12,openai,gpt-5.2,2025-06,4,4,4,4,0.0,4,4,exact
Ollama,2023-07-01,openai,gpt-4-0613,2021-09,0,0,0,0,0.0,0,0,exact
Ollama,2023-07-01,openai,gpt-4.1-2025-04-14,2024-06,3,4,4,3.667,0.471,3,4,within_1
Ollama,2023-07-01,openai,gpt-4o-2024-05-13,2023-10,0,0,0,0,0.0,0,0,exact
Ollama,2023-07-01,openai,gpt-4o-2024-11-20,2023-10,0,0,0,0,0.0,0,0,exact
Ollama,2023-07-01,openai,gpt-5.2,2025-06,3,3,3,3,0.0,3,3,exact
OpenAI o1,2024-09-12,openai,gpt-4-0613,2021-09,0,0,0,0,0.0,0,0,exact
OpenAI o1,2024-09-12,openai,gpt-4.1-2025-04-14,2024-06,0,0,0,0,0.0,0,0,exact
OpenAI o1,2024-09-12,openai,gpt-4o-2024-05-13,2023-10,0,0,0,0,0.0,0,0,exact
OpenAI o1,2024-09-12,openai,gpt-4o-2024-11-20,2023-10,0,0,0,0,0.0,0,0,exact
OpenAI o1,2024-09-12,openai,gpt-5.2,2025-06,0,0,0,0,0.0,0,0,exact
OpenAI o3,2024-12-20,openai,gpt-4-0613,2021-09,0,0,0,0,0.0,0,0,exact
OpenAI o3,2024-12-20,openai,gpt-4.1-2025-04-14,2024-06,0,0,0,0,0.0,0,0,exact
OpenAI o3,2024-12-20,openai,gpt-4o-2024-05-13,2023-10,0,0,0,0,0.0,0,0,exact
OpenAI o3,2024-12-20,openai,gpt-4o-2024-11-20,2023-10,0,0,0,0,0.0,0,0,exact
OpenAI o3,2024-12-20,openai,gpt-5.2,2025-06,0,0,0,0,0.0,0,0,exact
Operator (the OpenAI agent),2025-01-23,openai,gpt-4-0613,2021-09,1,0,1,0.667,0.471,0,1,within_1
Operator (the OpenAI agent),2025-01-23,openai,gpt-4.1-2025-04-14,2024-06,0,0,0,0,0.0,0,0,exact
Operator (the OpenAI agent),2025-01-23,openai,gpt-4o-2024-05-13,2023-10,0,0,0,0,0.0,0,0,exact
Operator (the OpenAI agent),2025-01-23,openai,gpt-4o-2024-11-20,2023-10,0,0,0,0,0.0,0,0,exact
Operator (the OpenAI agent),2025-01-23,openai,gpt-5.2,2025-06,0,0,0,0,0.0,0,0,exact
Phi-3,2024-04-23,openai,gpt-4-0613,2021-09,0,0,0,0,0.0,0,0,exact
Phi-3,2024-04-23,openai,gpt-4.1-2025-04-14,2024-06,3,3,3,3,0.0,3,3,exact
Phi-3,2024-04-23,openai,gpt-4o-2024-05-13,2023-10,0,0,0,0,0.0,0,0,exact
Phi-3,2024-04-23,openai,gpt-4o-2024-11-20,2023-10,0,0,0,0,0.0,0,0,exact
Phi-3,2024-04-23,openai,gpt-5.2,2025-06,3,3,4,3.333,0.471,3,4,within_1
Qwen,2023-08-03,openai,gpt-4-0613,2021-09,0,0,0,0,0.0,0,0,exact
Qwen,2023-08-03,openai,gpt-4.1-2025-04-14,2024-06,3,3,3,3,0.0,3,3,exact
Qwen,2023-08-03,openai,gpt-4o-2024-05-13,2023-10,0,0,0,0,0.0,0,0,exact
Qwen,2023-08-03,openai,gpt-4o-2024-11-20,2023-10,3,3,3,3,0.0,3,3,exact
Qwen,2023-08-03,openai,gpt-5.2,2025-06,4,4,4,4,0.0,4,4,exact
Rabbit R1,2024-01-09,openai,gpt-4-0613,2021-09,0,0,0,0,0.0,0,0,exact
Rabbit R1,2024-01-09,openai,gpt-4.1-2025-04-14,2024-06,4,4,4,4,0.0,4,4,exact
Rabbit R1,2024-01-09,openai,gpt-4o-2024-05-13,2023-10,0,0,0,0,0.0,0,0,exact
Rabbit R1,2024-01-09,openai,gpt-4o-2024-11-20,2023-10,0,0,0,0,0.0,0,0,exact
Rabbit R1,2024-01-09,openai,gpt-5.2,2025-06,4,4,4,4,0.0,4,4,exact
Safe Superintelligence,2024-06-19,openai,gpt-4-0613,2021-09,0,0,0,0,0.0,0,0,exact
Safe Superintelligence,2024-06-19,openai,gpt-4.1-2025-04-14,2024-06,4,4,4,4,0.0,4,4,exact
Safe Superintelligence,2024-06-19,openai,gpt-4o-2024-05-13,2023-10,0,0,0,0,0.0,0,0,exact
Safe Superintelligence,2024-06-19,openai,gpt-4o-2024-11-20,2023-10,0,0,0,0,0.0,0,0,exact
Safe Superintelligence,2024-06-19,openai,gpt-5.2,2025-06,4,3,3,3.333,0.471,3,4,within_1
Sakana AI,2023-08-01,openai,gpt-4-0613,2021-09,0,0,0,0,0.0,0,0,exact
Sakana AI,2023-08-01,openai,gpt-4.1-2025-04-14,2024-06,4,4,4,4,0.0,4,4,exact
Sakana AI,2023-08-01,openai,gpt-4o-2024-05-13,2023-10,0,0,0,0,0.0,0,0,exact
Sakana AI,2023-08-01,openai,gpt-4o-2024-11-20,2023-10,0,0,0,0,0.0,0,0,exact
Sakana AI,2023-08-01,openai,gpt-5.2,2025-06,3,3,4,3.333,0.471,3,4,within_1
Sora (the OpenAI model),2024-02-15,openai,gpt-4-0613,2021-09,0,0,0,0,0.0,0,0,exact
Sora (the OpenAI model),2024-02-15,openai,gpt-4.1-2025-04-14,2024-06,3,3,4,3.333,0.471,3,4,within_1
Sora (the OpenAI model),2024-02-15,openai,gpt-4o-2024-05-13,2023-10,0,0,0,0,0.0,0,0,exact
Sora (the OpenAI model),2024-02-15,openai,gpt-4o-2024-11-20,2023-10,0,0,0,0,0.0,0,0,exact
Sora (the OpenAI model),2024-02-15,openai,gpt-5.2,2025-06,3,3,4,3.333,0.471,3,4,within_1
Stable Diffusion 3,2024-02-22,openai,gpt-4-0613,2021-09,0,0,0,0,0.0,0,0,exact
Stable Diffusion 3,2024-02-22,openai,gpt-4.1-2025-04-14,2024-06,4,4,3,3.667,0.471,3,4,within_1
Stable Diffusion 3,2024-02-22,openai,gpt-4o-2024-05-13,2023-10,2,0,0,0.667,0.943,0,2,diverge
Stable Diffusion 3,2024-02-22,openai,gpt-4o-2024-11-20,2023-10,0,0,0,0,0.0,0,0,exact
Stable Diffusion 3,2024-02-22,openai,gpt-5.2,2025-06,4,3,3,3.333,0.471,3,4,within_1
Suno (the AI music service),2023-12-20,openai,gpt-4-0613,2021-09,0,0,0,0,0.0,0,0,exact
Suno (the AI music service),2023-12-20,openai,gpt-4.1-2025-04-14,2024-06,4,3,3,3.333,0.471,3,4,within_1
Suno (the AI music service),2023-12-20,openai,gpt-4o-2024-05-13,2023-10,0,0,0,0,0.0,0,0,exact
Suno (the AI music service),2023-12-20,openai,gpt-4o-2024-11-20,2023-10,0,0,0,0,0.0,0,0,exact
Suno (the AI music service),2023-12-20,openai,gpt-5.2,2025-06,3,4,3,3.333,0.471,3,4,within_1
Threads (the Meta app),2023-07-05,openai,gpt-4-0613,2021-09,0,0,0,0,0.0,0,0,exact
Threads (the Meta app),2023-07-05,openai,gpt-4.1-2025-04-14,2024-06,4,4,4,4,0.0,4,4,exact
Threads (the Meta app),2023-07-05,openai,gpt-4o-2024-05-13,2023-10,4,4,4,4,0.0,4,4,exact
Threads (the Meta app),2023-07-05,openai,gpt-4o-2024-11-20,2023-10,4,4,4,4,0.0,4,4,exact
Threads (the Meta app),2023-07-05,openai,gpt-5.2,2025-06,4,3,4,3.667,0.471,3,4,within_1
Udio (the AI music service),2024-04-10,openai,gpt-4-0613,2021-09,0,0,0,0,0.0,0,0,exact
Udio (the AI music service),2024-04-10,openai,gpt-4.1-2025-04-14,2024-06,3,3,3,3,0.0,3,3,exact
Udio (the AI music service),2024-04-10,openai,gpt-4o-2024-05-13,2023-10,0,0,0,0,0.0,0,0,exact
Udio (the AI music service),2024-04-10,openai,gpt-4o-2024-11-20,2023-10,0,0,0,0,0.0,0,0,exact
Udio (the AI music service),2024-04-10,openai,gpt-5.2,2025-06,3,2,3,2.667,0.471,2,3,within_1
Windsurf (the AI code editor),2024-11-13,openai,gpt-4-0613,2021-09,0,0,0,0,0.0,0,0,exact
Windsurf (the AI code editor),2024-11-13,openai,gpt-4.1-2025-04-14,2024-06,0,0,0,0,0.0,0,0,exact
Windsurf (the AI code editor),2024-11-13,openai,gpt-4o-2024-05-13,2023-10,0,0,0,0,0.0,0,0,exact
Windsurf (the AI code editor),2024-11-13,openai,gpt-4o-2024-11-20,2023-10,0,0,0,0,0.0,0,0,exact
Windsurf (the AI code editor),2024-11-13,openai,gpt-5.2,2025-06,3,0,0,1,1.414,0,3,diverge
World Labs,2024-09-13,openai,gpt-4-0613,2021-09,0,0,0,0,0.0,0,0,exact
World Labs,2024-09-13,openai,gpt-4.1-2025-04-14,2024-06,0,0,0,0,0.0,0,0,exact
World Labs,2024-09-13,openai,gpt-4o-2024-05-13,2023-10,0,0,0,0,0.0,0,0,exact
World Labs,2024-09-13,openai,gpt-4o-2024-11-20,2023-10,0,0,0,0,0.0,0,0,exact
World Labs,2024-09-13,openai,gpt-5.2,2025-06,0,0,0,0,0.0,0,0,exact
vLLM,2023-06-20,openai,gpt-4-0613,2021-09,0,0,0,0,0.0,0,0,exact
vLLM,2023-06-20,openai,gpt-4.1-2025-04-14,2024-06,3,2,2,2.333,0.471,2,3,within_1
vLLM,2023-06-20,openai,gpt-4o-2024-05-13,2023-10,0,0,0,0,0.0,0,0,exact
vLLM,2023-06-20,openai,gpt-4o-2024-11-20,2023-10,3,0,0,1,1.414,0,3,diverge
vLLM,2023-06-20,openai,gpt-5.2,2025-06,4,4,4,4,0.0,4,4,exact
xAI,2023-07-12,openai,gpt-4-0613,2021-09,0,0,0,0,0.0,0,0,exact
xAI,2023-07-12,openai,gpt-4.1-2025-04-14,2024-06,4,3,4,3.667,0.471,3,4,within_1
xAI,2023-07-12,openai,gpt-4o-2024-05-13,2023-10,3,0,0,1,1.414,0,3,diverge
xAI,2023-07-12,openai,gpt-4o-2024-11-20,2023-10,0,0,3,1,1.414,0,3,diverge
xAI,2023-07-12,openai,gpt-5.2,2025-06,3,3,3,3,0.0,3,3,exact
